 VARIABLES = "x", "y", "z"
 ZONE N=       11474 , E=       22956 , ZONETYPE=FETRIANGLE
 DATAPACKING=POINT
    -3.157612E-01     5.743280E-01    -2.932411E+00
    -3.102296E-01     5.992058E-01    -2.882102E+00
    -2.804151E-01     5.869004E-01    -2.907938E+00
    -4.129263E-01     6.464931E-01    -2.759361E+00
    -3.915101E-01     6.487795E-01    -2.728438E+00
    -3.979708E-01     6.362646E-01    -2.788484E+00
    -2.683413E-01     5.995935E-01    -2.869514E+00
    -3.024928E-01     6.077857E-01    -2.826075E+00
    -2.342123E-01     5.759567E-01    -2.907838E+00
    -2.563447E-01     6.072786E-01    -2.821940E+00
    -2.271463E-01     5.987905E-01    -2.853308E+00
    -2.006970E-01     5.820302E-01    -2.870294E+00
    -2.204269E-01     6.067609E-01    -2.810048E+00
    -2.387534E-01     6.115131E-01    -2.770234E+00
    -1.941285E-01     5.944079E-01    -2.828514E+00
    -1.702053E-01     5.683734E-01    -2.850095E+00
    -2.375446E-01     6.197502E-01    -2.712646E+00
    -2.058494E-01     6.110985E-01    -2.740181E+00
    -1.907745E-01     6.016283E-01    -2.778631E+00
    -1.665508E-01     5.830373E-01    -2.808376E+00
    -2.494807E-01     6.353055E-01    -2.655332E+00
    -2.594713E-01     6.308035E-01    -2.683001E+00
    -2.844930E-01     6.385871E-01    -2.653378E+00
    -2.578039E-01     6.404152E-01    -2.623319E+00
    -2.331633E-01     6.286597E-01    -2.672833E+00
    -1.716235E-01     5.994270E-01    -2.740230E+00
    -1.455797E-01     5.766545E-01    -2.769872E+00
    -2.237208E-01     6.329971E-01    -2.626523E+00
    -2.475676E-01     6.874974E-01    -2.447011E+00
    -1.816758E-01     6.618645E-01    -2.484014E+00
    -2.652431E-01     6.731999E-01    -2.487749E+00
    -3.168774E-01     7.290129E-01    -2.325093E+00
    -2.855473E-01     7.251596E-01    -2.347551E+00
    -3.171415E-01     7.171399E-01    -2.364871E+00
    -2.578086E-01     7.175692E-01    -2.367200E+00
    -2.855014E-01     7.061936E-01    -2.402035E+00
    -2.400494E-01     7.031083E-01    -2.402797E+00
    -2.041377E-01     6.871868E-01    -2.431871E+00
    -2.911794E-01     7.366018E-01    -2.300417E+00
    -3.402305E-01     7.321998E-01    -2.284233E+00
    -2.991284E-01     7.403144E-01    -2.263260E+00
    -2.562102E-01     7.298182E-01    -2.322046E+00
    -2.269116E-01     7.126794E-01    -2.349501E+00
    -2.096251E-01     6.977006E-01    -2.390542E+00
    -1.843894E-01     6.850704E-01    -2.404710E+00
    -1.635243E-01     6.717129E-01    -2.440591E+00
    -1.435966E-01     6.594290E-01    -2.463868E+00
    -1.286739E-01     6.433328E-01    -2.473111E+00
    -1.328460E-01     6.376510E-01    -2.502749E+00
    -1.531575E-01     6.412118E-01    -2.521141E+00
    -1.267923E-01     6.183401E-01    -2.536125E+00
    -2.618197E-01     7.364157E-01    -2.279147E+00
    -2.724238E-01     7.354324E-01    -2.235763E+00
    -2.345005E-01     7.261305E-01    -2.302193E+00
    -2.096554E-01     7.070758E-01    -2.303537E+00
    -1.859201E-01     6.813758E-01    -2.354129E+00
    -1.582915E-01     6.644050E-01    -2.401217E+00
    -1.354560E-01     6.523826E-01    -2.439759E+00
    -2.341265E-01     7.246173E-01    -2.266184E+00
    -4.039607E-01     5.436452E-01    -3.039593E+00
    -4.166844E-01     5.569835E-01    -3.007940E+00
    -3.917243E-01     5.502576E-01    -3.020879E+00
    -3.830797E-01     5.257357E-01    -3.057990E+00
    -4.478788E-01     5.894290E-01    -2.926978E+00
    -4.137833E-01     5.825974E-01    -2.952118E+00
    -4.474853E-01     5.670126E-01    -2.975156E+00
    -3.824126E-01     5.687172E-01    -2.975904E+00
    -3.646064E-01     5.420681E-01    -3.008197E+00
    -4.089428E-01     6.036919E-01    -2.899163E+00
    -4.481310E-01     6.094289E-01    -2.868165E+00
    -3.790012E-01     5.940551E-01    -2.924793E+00
    -3.552621E-01     5.810642E-01    -2.940917E+00
    -3.457838E-01     5.572717E-01    -2.967436E+00
    -4.728502E-01     6.372991E-01    -2.750344E+00
    -4.349257E-01     6.383619E-01    -2.776471E+00
    -4.678030E-01     6.223332E-01    -2.807764E+00
    -4.297651E-01     6.263315E-01    -2.818482E+00
    -4.016467E-01     6.206542E-01    -2.845050E+00
    -3.714515E-01     6.113084E-01    -2.872904E+00
    -3.457834E-01     5.980938E-01    -2.900747E+00
    -2.927847E-01     5.473443E-01    -2.958365E+00
    -3.158610E-01     5.447215E-01    -2.964672E+00
    -4.330098E-01     6.517882E-01    -2.726345E+00
