 VARIABLES = "x", "y", "z"
 ZONE N=       10228 , E=       20421 , ZONETYPE=FETRIANGLE
 DATAPACKING=POINT
1.903940E+00    2.591720E-02    8.564660E-01
1.853590E+00    5.918080E-02    8.498050E-01
1.867780E+00    1.045140E-02    8.402690E-01
1.887400E+00    6.806790E-02    8.570360E-01
1.823710E+00    1.977250E-02    8.397850E-01
1.953030E+00    2.394570E-02    8.843140E-01
1.918290E+00    7.102650E-02    8.709630E-01
1.874470E+00    1.146730E-01    8.689100E-01
1.798490E+00    6.896670E-02    8.552790E-01
1.962650E+00    7.536620E-02    8.965210E-01
1.985910E+00    1.012160E-02    9.110940E-01
1.973920E+00    3.796070E-02    8.988960E-01
1.826320E+00    1.033190E-01    8.613050E-01
1.767050E+00    2.715880E-02    8.534470E-01
1.926390E+00    1.170990E-01    8.855370E-01
1.992280E+00    4.465450E-02    9.173940E-01
1.827890E+00    1.418750E-01    8.743830E-01
1.783890E+00    1.244170E-01    8.772150E-01
1.750500E+00    7.623150E-02    8.723240E-01
1.969100E+00    1.456510E-01    9.140290E-01
2.009760E+00    1.058880E-02    9.403500E-01
1.904840E+00    1.742630E-01    8.952580E-01
1.853870E+00    1.715570E-01    8.857730E-01
1.733200E+00    4.702460E-02    8.703230E-01
2.000270E+00    8.773780E-02    9.281170E-01
2.017470E+00    4.800870E-02    9.474630E-01
2.035760E+00    4.760610E-02    9.788490E-01
2.029420E+00    1.386010E-02    9.731910E-01
2.043260E+00    2.009680E-02    1.009770E+00
1.722120E+00    2.129410E-02    8.734440E-01
1.806820E+00    1.841690E-01    8.960650E-01
1.729350E+00    1.233990E-01    9.019360E-01
1.711890E+00    6.597860E-02    8.913350E-01
1.941260E+00    1.987980E-01    9.113750E-01
2.020190E+00    1.294800E-01    9.489030E-01
2.050180E+00    7.089170E-02    1.014010E+00
2.050260E+00    2.333640E-02    1.054820E+00
2.048500E+00    1.620760E-02    1.098750E+00
2.059720E+00    6.770000E-02    1.085100E+00
1.859960E+00    2.296420E-01    9.108240E-01
1.762520E+00    1.637220E-01    9.000950E-01
2.030670E+00    8.355990E-02    9.640510E-01
1.909690E+00    2.283610E-01    9.116760E-01
1.976830E+00    2.045090E-01    9.285380E-01
2.009540E+00    1.730900E-01    9.422840E-01
2.043960E+00    2.869960E-02    1.141590E+00
1.680510E+00    3.235550E-02    9.098630E-01
1.802220E+00    2.416480E-01    9.284060E-01
1.769410E+00    2.007060E-01    9.155990E-01
1.680360E+00    9.994350E-02    9.305330E-01
1.734680E+00    1.791580E-01    9.233990E-01
1.943640E+00    2.321730E-01    9.214930E-01
2.046920E+00    1.176640E-01    9.857230E-01
2.047670E+00    1.699660E-01    9.781220E-01
2.069210E+00    1.356900E-01    1.038390E+00
2.059100E+00    6.741890E-02    1.128790E+00
2.039130E+00    5.018980E-02    1.181300E+00
2.023580E+00    1.160420E-02    1.190150E+00
1.891600E+00    2.563540E-01    9.196130E-01
1.840000E+00    2.673460E-01    9.310740E-01
1.701440E+00    1.528640E-01    9.342340E-01
1.920650E+00    2.626420E-01    9.272770E-01
1.969150E+00    2.559550E-01    9.414180E-01
2.019640E+00    2.157530E-01    9.566490E-01
2.074760E+00    1.159770E-01    1.104180E+00
2.066610E+00    8.647450E-02    1.117500E+00
2.053050E+00    6.026040E-02    1.150640E+00
2.006210E+00    2.334720E-02    1.232030E+00
1.652220E+00    6.351620E-02    9.459660E-01
1.645700E+00    2.279390E-02    9.454050E-01
1.881540E+00    2.906810E-01    9.395720E-01
1.752090E+00    2.268380E-01    9.427190E-01
1.824740E+00    2.946670E-01    9.553800E-01
1.668160E+00    1.584660E-01    9.661680E-01
1.707050E+00    2.033710E-01    9.594570E-01
2.049580E+00    2.040040E-01    9.732620E-01
2.088160E+00    1.655570E-01    1.094430E+00
2.063750E+00    9.821090E-02    1.159380E+00
2.035430E+00    8.219780E-02    1.224390E+00
1.640830E+00    1.073720E-01    9.741100E-01
1.631360E+00    6.044360E-02    9.724360E-01
1.777020E+00    2.730940E-01    9.625110E-01
1.932530E+00    2.950600E-01    9.446360E-01
2.015400E+00    2.717940E-01    9.705070E-01
2.072870E+00    1.854130E-01    1.011300E+00
2.063570E+00    2.025350E-01    9.886390E-01
2.050200E+00    2.305500E-01    9.805160E-01
2.083860E+00    1.455460E-01    1.138230E+00
2.086350E+00    1.956350E-01    1.050020E+00
1.971460E+00    1.053930E-02    1.273500E+00
1.990440E+00    5.467590E-02    1.273380E+00
1.622240E+00    2.609520E-02    9.825980E-01
1.735160E+00    2.567030E-01    9.784180E-01
1.796110E+00    3.116100E-01    9.843780E-01
1.860480E+00    3.274150E-01    9.679990E-01
1.674790E+00    2.046040E-01    9.858700E-01
1.638440E+00    1.520660E-01    9.909840E-01
1.970880E+00    2.982530E-01    9.583100E-01
2.095060E+00    1.872110E-01    1.142030E+00
2.097360E+00    2.147900E-01    1.098640E+00
1.937660E+00    2.024540E-02    1.304200E+00
2.061090E+00    1.189070E-01    1.206370E+00
2.020130E+00    9.872690E-02    1.274200E+00
1.611490E+00    8.624480E-02    1.013850E+00
1.913690E+00    3.166380E-01    9.515890E-01
1.764040E+00    2.979290E-01    9.942890E-01
1.828350E+00    3.324550E-01    9.861270E-01
1.901970E+00    3.370310E-01    9.682910E-01
1.696140E+00    2.423400E-01    9.975110E-01
1.648360E+00    1.883510E-01    9.996460E-01
1.621560E+00    1.327280E-01    1.005150E+00
1.942710E+00    3.280160E-01    9.649820E-01
1.993230E+00    3.291110E-01    9.843310E-01
2.056570E+00    2.652400E-01    9.974280E-01
2.075160E+00    2.266280E-01    1.012560E+00
2.080600E+00    1.619840E-01    1.192920E+00
2.090450E+00    2.482340E-01    1.054740E+00
1.959350E+00    6.616280E-02    1.311110E+00
2.052430E+00    1.345590E-01    1.250270E+00
1.991680E+00    8.487310E-02    1.298400E+00
1.604930E+00    2.779360E-02    1.022320E+00
1.725330E+00    2.918020E-01    1.020760E+00
1.794220E+00    3.493230E-01    1.029560E+00
1.871740E+00    3.643660E-01    1.001360E+00
1.662340E+00    2.281270E-01    1.014750E+00
1.623650E+00    1.708860E-01    1.017550E+00
2.035890E+00    3.026220E-01    9.948490E-01
2.096660E+00    2.005740E-01    1.174460E+00
2.101230E+00    2.338350E-01    1.152590E+00
2.098940E+00    2.583060E-01    1.102870E+00
1.918260E+00    5.574770E-02    1.327180E+00
2.031320E+00    1.288330E-01    1.291740E+00
2.005860E+00    1.122580E-01    1.309730E+00
1.605300E+00    1.445270E-01    1.034850E+00
1.592270E+00    7.199050E-02    1.065230E+00
1.946140E+00    3.724730E-01    9.998320E-01
1.681230E+00    2.657950E-01    1.031630E+00
1.633290E+00    2.116990E-01    1.032010E+00
2.038020E+00    3.451680E-01    1.017000E+00
2.066520E+00    2.979780E-01    1.022430E+00
2.078250E+00    2.628050E-01    1.022240E+00
2.093890E+00    2.174250E-01    1.206960E+00
2.085860E+00    3.032740E-01    1.072420E+00
1.907020E+00    -2.059640E-04    1.315960E+00
1.886430E+00    2.236840E-02    1.324000E+00
1.936350E+00    8.817530E-02    1.339130E+00
1.973430E+00    9.830320E-02    1.326330E+00
2.072810E+00    1.932950E-01    1.262250E+00
2.046360E+00    1.609400E-01    1.298230E+00
1.593180E+00    1.193330E-01    1.055580E+00
1.595780E+00    1.971090E-02    1.053950E+00
1.720840E+00    3.275650E-01    1.064640E+00
1.860400E+00    3.982930E-01    1.039760E+00
1.911860E+00    4.095000E-01    1.034020E+00
1.694060E+00    2.952030E-01    1.050530E+00
1.649980E+00    2.514540E-01    1.047940E+00
1.608090E+00    1.903540E-01    1.051110E+00
1.999110E+00    3.708690E-01    1.007160E+00
2.084110E+00    2.778730E-01    1.039650E+00
2.099630E+00    2.905360E-01    1.142680E+00
1.891330E+00    5.459580E-02    1.334730E+00
1.891430E+00    8.535750E-02    1.350240E+00
2.019350E+00    1.428100E-01    1.324580E+00
1.987720E+00    1.281980E-01    1.342910E+00
1.589660E+00    1.631670E-01    1.072390E+00
1.591340E+00    3.295270E-02    1.091870E+00
1.581230E+00    1.289330E-01    1.095670E+00
